KLIMECKIEGO / NOWOHUCKA,88
29 LISTOPADA / LUBLAŃSKA,85
RONDO MATECZNY / W RONDZIE,64
SOLIDARNOŚCI / UJASTEK MOGILSKI,59
JASNOGÓRSKA / OJCOWSKA,56
RONDO GRZEGÓRZECKIE / W RONDZIE,55
HERBERTA / PODMOKŁA,50
ARMII KRAJOWEJ / BRONOWICKA,46
KOSOCICKA / WIELICKA,44
KUKLIŃSKIEGO / POWSTAŃCÓW WIELKOPOLSKICH,43
RONDO MOGILSKIE / W RONDZIE,40
SKOTNICKA / WĘZEŁ SKAWIŃSKI,37
BASZTOWA / WESTERPLATTE,35
KOCMYRZOWSKA / ŁOWIŃSKIEGO,35
DIETLA / WIELOPOLE,35
BORA KOMOROWSKIEGO / STELLA SAWICKIEGO,34
POWSTAŃCÓW WIELKOPOLSKICH / WIELICKA,33
SZLAK / WARSZAWSKA,33
AL SŁOWACKIEGO / WARSZAWSKA,31
AL MICKIEWICZA / CZARNOWIEJSKA,31
29 LISTOPADA / DOBREGO PASTERZA,30
MEDWECKIEGO / STELLA SAWICKIEGO,29
POWSTAŃCÓW / REDUTA,27
RONDO DYWIZJONU 308 / W RONDZIE,26
POKOJU / RONDO DYWIZJONU 308,25
RONDO OFIAR KATYNIA / W RONDZIE,25
29 LISTOPADA / WITA STWOSZA,25
IGOŁOMSKA / WĘZEŁ IGOŁOMSKI,24
PTASZYCKIEGO / WĘZEŁ IGOŁOMSKI,24
AL SŁOWACKIEGO / KROWODERSKA,24
KOSTANECKIEGO / WIELICKA,24
OPOLSKA / WEISSA,24
NOWOSĄDECKA / WIELICKA,24
KAMIEŃSKIEGO / WIELICKA,23
RONDO GRUNWALDZKIE / W RONDZIE,23
ŁOKIETKA / OPOLSKA,23
AL SŁOWACKIEGO / LENARTOWICZA,22
JANA PAWŁA II / STELLA SAWICKIEGO,22
TISCHNERA / ZAKOPIAŃSKA,22
KAMIEŃSKIEGO / PUSZKARSKA,22
DIETLA / STAROWIŚLNA,22
AL SŁOWACKIEGO / ŁOBZOWSKA,22
PODGÓRSKA / WAWRZYŃCA,21
KONOPNICKIEJ / RONDO GRUNWALDZKIE,21
JANA PAWŁA II / NOWOHUCKA,21
ANDERSA / RONDO GENERAŁA MACZKA,21
29 LISTOPADA / PAWIA,21
AL SŁOWACKIEGO / DŁUGA,20
KAMIEŃSKIEGO / MALBORSKA,20
AL KRASIŃSKIEGO / ZWIERZYNIECKA,20
